Name,rbd,comp,antibody
6xdg_regn10933,E,"B, D",regn10933
6xdg_regn10987,E,"A, C",regn10987
7bwj,E,"H, L",P2B-2F6
7cm4,A,"H, L",Regdanvimab
7jmw,A,"H, L",COVA1-16
7jx3_s309,R,"A, B",s309
7jx3_s2h14,R,"C, D",s2h14
7jx3_s304,R,"H, L",s304
7k45,B,"H, L",S2-E12
7l0n_s309,R,"A, B",s309
7l0n_s309-2,S,"C, D",s309
7l0n_s304,R,"H, L",s304
7l0n_s304-2,S,"M, N",s304
7l5b,A,"H, L",Fab2-15
7kzb_cr3022-b6,C,"B, C",cr3022-b6
7kzb_cr3014-c8,C,"H, L",cr3014-c8
7c01,A,"H, L",CB6
7k4n,A,"H, L",S2-E12
7k43,A,"H, L",S2-M11
7l57,B,"H, L",
6wps,A,"H, L",S309
6wpt,C,"H, L",S309
7c2l,A,"H, L",4A8
7l0n-ace2,S,F,
7l0n-ace2-2,R,E,
6m0j,E,A
